,topicos
0,"['trump', 'rubio', 'debate', 'donald_trump', 'candidate', 'christie', 'fox_news', 'campaign', 'people', 'president', 'kelly', 'ted_cruz', 'thing', 'question', 'carson', 'america', 'marco_rubio', 'night', 'new_hampshire', 'donald']"
1,"['brussels', 'police', 'attack', 'belgium', 'airport', 'paris', 'security', 'explosion', 'march', 'terrorist', 'europe', 'molenbeek', 'blast', 'paris_attack', 'france', 'suspect', 'islamic_state', 'hotel', 'suicide_bomber', 'abdeslam']"
2,"['apple', 'iphone', 'phone', 'fbi', 'cable', 'encryption', 'device', 'cook', 'privacy', 'datum', 'barry', 'app', 'government', 'company', 'snowden', 'san_bernardino', 'smartphone', 'nsa', 'remittance', 'internet']"
3,"['game', 'team', 'player', 'miller', 'byers', 'season', 'coach', 'football', 'warriors', 'curry', 'shot', 'teammate', 'soccer', 'stevens', 'championship', 'williams', 'fan', 'grove', 'fisher', 'tournament']"
4,"['trump', 'march', 'pic_twitter', 'february', 'rubio', 'kasich', 'romney', 'realdonaldtrump', 'tony_lee', 'realdonaldtrump_march', 'rally', 'donald_trump', 'clinton', 'tedcruz', 'cnn', 'wisconsin', 'tonight', 'charlie_spiering', 'realdonaldtrump_february', 'matthews']"
5,"['twitter', 'user', 'yiannopoulos', 'facebook', 'zuckerberg', 'platform', 'company', 'speech', 'tweet', 'internet', 'medium', 'breitbart_tech', 'account', 'milo_yiannopoulos', 'dorsey', 'censorship', 'content', 'twitter_user', 'twitter_facebook', 'article']"
6,"['immigration', 'rubio', 'ryan', 'immigrant', 'border', 'amnesty', 'crane', 'alien', 'sen_rubio', 'schlafly', 'session', 'worker', 'gang', 'ice_officer', 'gang_bill', 'united_states', 'law_enforcement', 'law', 'visa', 'senate']"
7,"['food', 'store', 'diet', 'climate_change', 'retailer', 'fashion', 'space', 'scientist', 'warming', 'spacex', 'nasa', 'restaurant', 'brain', 'mouse', 'study', 'earth', 'temperature', 'product', 'animal', 'dream']"
8,"['theranos', 'bundy', 'goldwater', 'land', 'cattle', 'lab', 'study', 'rancher', 'museum', 'test', 'password', 'cybersecurity', 'result', 'property', 'tract', 'soros', 'research', 'government', 'microsoft', 'depletion']"
9,"['sanders', 'clinton', 'wall_street', 'cooper', 'taxis', 'michigan', 'democrats', 'obamacare', 'america', 'flint', 'questioner', 'water', 'people', 'question', 'obama', 'economy', 'debate', 'health_care', 'country', 'issue']"
10,"['film', 'actor', 'academy', 'movie', 'hollywood', 'oscars', 'actress', 'award', 'song', 'singer', 'diversity', 'smith', 'academy_awards', 'oscar', 'star', 'clooney', 'dicaprio', 'character', 'rapper', 'producer']"
11,"['hillary', 'bill_clinton', 'clinton', 'klein', 'woman', 'broaddrick', 'epstein', 'cosby', 'willey', 'dalton', 'husband', 'weiner', 'hillary_clinton', 'uber', 'jones', 'clintons', 'rape', 'dershowitz', 'tripp', 'victim']"
12,"['china', 'trade', 'economy', 'job', 'market', 'trade_deal', 'hong_kong', 'deal', 'bank', 'price', 'growth', 'japan', 'production', 'export', 'currency', 'manufacturing', 'country', 'investment', 'obamatrade', 'sector']"
